outer_fold,loss_w_mask,train_time_sec,thr_cls_from_val_sel,val_sel_best_bacc,val_sel_best_f1m,test_pr_auc,test_roc_auc,test_bacc,test_f1_1,test_f1_macro,test_prec1,test_rec1,test_cm_TN_FP_FN_TP,test_dice_global,test_dice_pos_mean,test_miou,test_pix_specificity,test_pix_f1,test_pix_prec,test_pix_rec,hp_lr,hp_weight_decay,hp_dropout_rate,hp_dec_ch,selection_criterion,method
1,2.4587533769729157,,,,,0.993878677231189,0.9848289417111972,0.949051041090842,0.9506493506493506,0.9222520496263512,0.9945652173913044,0.9104477611940298,,0.8609549933314576,0.899527364702367,0.8690067046281715,0.9935510908623164,0.8609549928321634,0.8965400382221254,0.8280869559384779,,,,,pareto_distance,multiobjective
2,2.696638467420438,,,,,0.9768934451382154,0.9614888520361158,0.9319145015662428,0.9573934837092732,0.9271815903394852,0.9646464646464646,0.9502487562189056,,0.8711940289123193,0.8945184774066678,0.8782807209027657,0.9905755858481224,0.8711940284126799,0.8460218557345646,0.89791006161974,,,,,pareto_distance,multiobjective
3,2.4748216721000285,,,,,0.99927515367307,0.9981222481222484,0.946969696969697,0.944,0.9126779661016948,1.0,0.8939393939393939,,0.9091495698213682,0.9147232903374566,0.91128108160444,0.9960327278105195,0.9091495693216216,0.9324537941711264,0.8869817981342424,,,,,pareto_distance,multiobjective
4,2.432908883556186,,,,,0.9914853100640192,0.9773374773374772,0.8986013986013985,0.9081081081081082,0.8606474606474607,0.9767441860465116,0.8484848484848485,,0.858143417582902,0.8726717823683613,0.8667098049252776,0.9926997254937232,0.8581434170832299,0.8835539964404014,0.8341535706996669,,,,,pareto_distance,multiobjective
5,1.407597305864786,,,,,0.9948256455328518,0.986855844235612,0.9318223696333148,0.9489795918367347,0.9163502610346465,0.9738219895287958,0.9253731343283582,,0.8273595458251161,0.8743293534463911,0.8413276955141595,0.986440277922973,0.827359545325465,0.8033403884421372,0.8528592734744099,,,,,pareto_distance,multiobjective
6,2.894903252290406,,,,,0.993605762052954,0.982986303052638,0.9319145015662428,0.9573934837092732,0.9271815903394852,0.9646464646464646,0.9502487562189056,,0.8735457247902972,0.8890734335676355,0.8807677825601579,0.9939720467247958,0.8735457242903734,0.889573615309904,0.8580851771312744,,,,,pareto_distance,multiobjective
7,2.6702482171286004,,,,,0.993955796902496,0.9833592333592334,0.947940947940948,0.9585492227979274,0.9310818403146264,0.9840425531914894,0.9343434343434344,,0.860556999646904,0.8795753440471611,0.868941055472363,0.9926191021098753,0.8605569991470614,0.879979905425534,0.8419729822153234,,,,,pareto_distance,multiobjective
8,2.285231768585234,,,,,0.9967328967320076,0.9911292411292412,0.9557109557109558,0.9581151832460733,0.9319987680936248,0.9945652173913044,0.9242424242424242,,0.8868124450784588,0.8895040088229709,0.8915637387537219,0.9944372938377644,0.8868124445786009,0.9056106623523388,0.8687787660525322,,,,,pareto_distance,multiobjective
9,1.9502204518721693,,,,,0.989614824180259,0.972222222222222,0.9022921522921524,0.9173333333333332,0.8710960451977401,0.9717514124293786,0.8686868686868687,,0.8068848838481915,0.8311421461779662,0.8259454443930334,0.9852404355323028,0.8068848833488076,0.7771250747888832,0.839014742134466,,,,,pareto_distance,multiobjective
10,2.654904591322907,,,,,0.9908957494839384,0.976474358974359,0.9293589743589744,0.9430051813471504,0.906796708320634,0.978494623655914,0.91,,0.8001190868321635,0.8388977730274201,0.8215687995123333,0.9885106986031706,0.8001190863320712,0.8069233560415175,0.79342861019402,,,,,pareto_distance,multiobjective
