outer_fold,loss_w_mask,train_time_sec,thr_cls_from_val_sel,val_sel_best_bacc,val_sel_best_f1m,test_pr_auc,test_roc_auc,test_bacc,test_f1_1,test_f1_macro,test_prec1,test_rec1,test_cm_TN_FP_FN_TP,test_dice_global,test_dice_pos_mean,test_miou,test_pix_specificity,test_pix_f1,test_pix_prec,test_pix_rec,hp_lr,hp_weight_decay,hp_dropout_rate,hp_dec_ch
6,0.5,323.0669664000161,0.372628,0.9259756534192625,0.9294303440496334,0.9887860905435719,0.9707634666175295,0.8688962594435231,0.928395061728395,0.8730025623107385,0.9215686274509803,0.9353233830845771,"[65, 16, 13, 188]",0.7924277388822881,0.8262682388077921,0.8163508903540317,0.9874278064388172,0.7924277383822229,0.7830819259847135,0.8019993244099132,0.0008011070649188,1.1843349498732724e-06,0.2498862889398814,256
6,1.0,313.370247200015,0.9840160000000001,0.9470103831006087,0.9433333333333334,0.9965243653042558,0.9910939131502979,0.9428782015846693,0.9481865284974094,0.9179134889678058,0.9891891891891892,0.9104477611940298,"[79, 2, 18, 183]",0.8724053425312401,0.8925364147964402,0.8796917581600894,0.9929253595639591,0.872405342031157,0.8744117732831721,0.8704080986361513,0.0008011070649188,1.1843349498732724e-06,0.2498862889398814,256
6,1.5,320.4548651999794,0.8141860000000001,0.9355531686358753,0.9131076783280327,0.9921115203804866,0.9786868128493336,0.888704625023033,0.9408866995073891,0.894493982665087,0.9317073170731708,0.9502487562189055,"[67, 14, 10, 191]",0.8369359352224359,0.8488756957931898,0.8507299181066179,0.991292417077466,0.8369359347223579,0.8436595018984479,0.830318688510745,0.0008011070649188,1.1843349498732724e-06,0.2498862889398814,256
6,2.0,310.6031362999929,0.9840160000000001,0.9385069817400644,0.9417033276931754,0.9965724498674278,0.9906639641299675,0.9341256679565137,0.9340369393139841,0.8994509020894246,0.9943820224719101,0.8805970149253731,"[80, 1, 24, 177]",0.8659581584952546,0.8633065484649506,0.8745063577039576,0.9943124795396815,0.8659581579956266,0.8931795104820555,0.8403469788455843,0.0008011070649188,1.1843349498732724e-06,0.2498862889398814,256
6,2.5,308.48931780003477,0.6004,0.9735051915503043,0.9613475875035526,0.9957021874668267,0.9883299551624593,0.952920582273816,0.9672544080604534,0.944705048341604,0.9795918367346939,0.9552238805970149,"[77, 4, 9, 192]",0.866765457461253,0.8923047858091137,0.8749711091852701,0.9926621383153361,0.8667654569611686,0.8695133723995149,0.8640348562259836,0.0008011070649188,1.1843349498732724e-06,0.2498862889398814,256
6,3.0,306.3260908999946,0.9980020000000001,0.9085213032581454,0.9009204496494458,0.9916813168271599,0.9782568638290031,0.9133959830477243,0.9502487562189055,0.9133959830477243,0.9502487562189055,0.9502487562189055,"[71, 10, 10, 191]",0.8552064975622402,0.8990195070333149,0.8650289347700106,0.9890459637317708,0.8552064970629822,0.8216332352093605,0.8916403643964013,0.0008011070649188,1.1843349498732724e-06,0.2498862889398814,256
7,0.5,312.48839780001435,0.9980020000000001,0.930584918957012,0.9107843137254902,0.9963589555978274,0.9904169904169904,0.9504662004662006,0.9612403100775194,0.9351656095842142,0.9841269841269841,0.9393939393939394,"[75, 3, 12, 186]",0.8313531190922755,0.8641835222340594,0.8449965090740463,0.9893553284223665,0.8313531185921766,0.8335204326923067,0.8291970471268783,0.0008642032042503,7.818893705164563e-07,0.1268857234988663,256
7,1.0,312.3556950999191,0.9980020000000001,0.9651162790697674,0.9547153241937845,0.997808781745899,0.9939134939134939,0.9570707070707071,0.9551451187335093,0.9284396113898761,1.0,0.9141414141414141,"[78, 0, 17, 181]",0.8802081004129957,0.8872150507840243,0.8856842639790051,0.9949977859304447,0.880208099913678,0.9158667828253961,0.8472220561543289,0.0008642032042503,7.818893705164563e-07,0.1268857234988663,256
7,1.5,311.63864850008395,0.7302700000000001,0.9666431759455015,0.9525121617512922,0.9972036715144035,0.9922947422947423,0.9644522144522145,0.9717223650385605,0.9521188512309366,0.9895287958115183,0.9545454545454546,"[76, 2, 9, 189]",0.8810126109062649,0.8788793448245886,0.8863992520347967,0.9952639200113,0.8810126104070797,0.9198214466929115,0.8453460203888847,0.0008642032042503,7.818893705164563e-07,0.1268857234988663,256
7,2.0,311.6221087999875,0.37063,0.9596546863988724,0.9480666841232435,0.9940095753847775,0.9832297332297333,0.9621212121212122,0.9606299212598425,0.9364553115071141,1.0,0.9242424242424242,"[78, 0, 15, 183]",0.879206946294246,0.8822175758053558,0.8847499749157877,0.994263016093004,0.8792069457945897,0.9054185032631118,0.8544703218076891,0.0008642032042503,7.818893705164563e-07,0.1268857234988663,256
7,2.5,312.12362349999603,0.9480520000000001,0.9541930937279774,0.9513813229571985,0.9958689181226905,0.9889277389277389,0.9337606837606838,0.9565217391304348,0.9254658385093169,0.9689119170984456,0.9444444444444444,"[72, 6, 11, 187]",0.8703097837498796,0.8809421038386798,0.8770360239438697,0.9925328755898869,0.8703097832498732,0.8809747516632335,0.8598999447591752,0.0008642032042503,7.818893705164563e-07,0.1268857234988663,256
7,3.0,312.18682039994746,0.9740260000000001,0.9449142588677473,0.9388359788359788,0.994419785800622,0.9842657342657344,0.9467754467754468,0.9528795811518325,0.9234986141053281,0.9891304347826086,0.9191919191919192,"[76, 2, 16, 182]",0.8854827600130133,0.8888347895458492,0.890003975822738,0.9932070102007048,0.8854827595129751,0.8926094261981379,0.8784689922017164,0.0008642032042503,7.818893705164563e-07,0.1268857234988663,256
8,0.5,307.8242642999394,0.9440560000000001,0.9462585034013605,0.9153482451354792,0.9931278238901862,0.9802512302512303,0.9366744366744366,0.9417989417989417,0.9076810800948731,0.9888888888888889,0.898989898989899,"[76, 2, 20, 178]",0.8141226285316415,0.82891259530578,0.8313438148841844,0.9847557309240459,0.8141226280327748,0.775435708446804,0.8568724742953593,0.0003450768131156,1.4347494710900565e-07,0.1981171912189044,256
