n_shots,base_seed,sample_seed,pr_auc,roc_auc,bacc,dice_global,dice_pos_mean,miou,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,pix_specificity,pix_f1,pix_prec,pix_rec
1777,43,1,0.8556878011577486,0.7964693877551021,0.6904591836734694,0.6917814084965241,0.4113453650961117,0.7636717312846749,0.745697896749522,0.6916500382930171,0.7014388489208633,0.7959183673469388,"[117, 83, 50, 195]",0.9999228706181347,0.6917814080315398,0.9548953161530734,0.5423430412986312
10,43,2,0.5468534135779524,0.4896734693877551,0.5003061224489797,0.018721309675644032,0.015986559200720472,0.503135266793185,0.413265306122449,0.475708958282108,0.5510204081632653,0.3306122448979592,"[134, 66, 164, 81]",0.9997923301500505,0.018721309526253314,0.12773584905657967,0.010100859393649884
25,43,2,0.5661356756015266,0.5062857142857142,0.5155102040816326,0.003582238307345711,0.008513750014256458,0.46811761824971987,0.6422338568935427,0.49777307986632974,0.5609756097560976,0.7510204081632653,"[56, 144, 61, 184]",0.9371438661971881,0.0035822382195747162,0.0018767520989521277,0.03925459536882252
50,43,2,0.5510384669167316,0.48739795918367346,0.4916326530612245,0.055289975924213586,0.024228733960463076,0.5125027082469223,0.5531062124248497,0.49138686580321767,0.5433070866141733,0.563265306122449,"[84, 116, 107, 138]",0.9994747385776641,0.05528997562760143,0.16064891249729663,0.03339102411076579
100,43,2,0.5514035103880093,0.5000204081632653,0.5054081632653061,0.0899327560460315,0.036478895192243614,0.5218564618805279,0.5946969696969697,0.5017683743512473,0.5547703180212014,0.6408163265306123,"[74, 126, 88, 157]",0.9994635532450582,0.0899327557279727,0.23742017879947397,0.055472666507518864
200,43,2,0.5825480083836282,0.4977142857142857,0.49826530612244896,0.11955336667895344,0.06689876366634759,0.53021494888167,0.5375,0.49801829268292686,0.548936170212766,0.5265306122448979,"[94, 106, 116, 129]",0.999640497121102,0.11955336639902343,0.3734439834024604,0.07116853664358928
400,43,2,0.5890775377159516,0.5030714285714286,0.4962244897959184,0.13427183937213652,0.06436282493630234,0.534206807323001,0.6879756468797564,0.40407366034974945,0.5485436893203883,0.9224489795918367,"[14, 186, 19, 226]",0.9991708029936801,0.13427183896979974,0.24996952582177684,0.0917880162329898
1777,43,2,0.8616744334471538,0.8023469387755102,0.7192857142857143,0.6890777138854168,0.415475016224141,0.762090460270515,0.7048054919908466,0.7100186400351585,0.8020833333333334,0.6285714285714286,"[162, 38, 91, 154]",0.9999233198282795,0.6890777134211818,0.9548830447997634,0.5390307949391182
10,43,3,0.546022716698912,0.48842857142857143,0.5039285714285715,0.02510946538968175,0.01965337783402326,0.5047417193506453,0.42424242424242425,0.4813519813519813,0.5562913907284768,0.34285714285714286,"[133, 67, 161, 84]",0.9997285423094864,0.025109465205818852,0.13324727481352075,0.013860706612556489
25,43,3,0.5509176593316107,0.49318367346938774,0.4955102040816326,0.06430954268078068,0.03715144164708196,0.5147332868499238,0.5487804878048781,0.49549577154063,0.5465587044534413,0.5510204081632653,"[88, 112, 110, 135]",0.9991140228313752,0.06430954229314305,0.12749391727493353,0.04299952255908267
50,43,3,0.5505357015114856,0.48487755102040825,0.4675,0.05928431105538901,0.027212470324157873,0.5135794298742641,0.6384364820846905,0.417044327998867,0.5311653116531165,0.8,"[27, 173, 49, 196]",0.9995050602624393,0.05928431076595177,0.17788389792566944,0.03556934829314819
100,43,3,0.566064565745071,0.49228571428571427,0.47219387755102044,0.08155142570837642,0.03092272348549901,0.5192699013792517,0.592057761732852,0.45971935705690214,0.5307443365695793,0.6693877551020408,"[55, 145, 81, 164]",0.9988535707894096,0.08155142527467155,0.1335596672890805,0.058695392695153094
