checkpoint,dataset,kind,n_samples,n_bonafide,n_attack,pr_auc,roc_auc,bacc,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,dice_global,dice_pos_mean,miou,pix_specificity,pix_f1,pix_prec,pix_rec
model_multitask_seed59.pt,sidtd,templates,2222,1000,1222,0.5254565394632673,0.4734701309328969,0.5065384615384616,0.6920245398773006,0.4220257834521638,0.5534838076545633,0.9230769230769231,"[90, 910, 94, 1128]",0.008556867668007147,0.012505405869048376,0.47645599240673886,0.9515212733720679,0.008556867549411793,0.00456710692614136,0.06768924891963372
model_multitask_seed60.pt,sidtd,templates,2222,1000,1222,0.5549729346394485,0.4958968903436989,0.5027054009819967,0.6391184573002755,0.4792994883903975,0.5517241379310345,0.7594108019639935,"[246, 754, 294, 928]",0.008188756935534029,0.013709359702615529,0.4836412963460958,0.966189417665823,0.008188756774427139,0.004490511846281841,0.04641329411700256
model_multitask_seed61.pt,sidtd,templates,2222,1000,1222,0.571382192153631,0.5143956628477905,0.5019893617021276,0.6786163522012578,0.43503602420189474,0.5510725229826353,0.8829787234042553,"[121, 879, 143, 1079]",0.006265666512276257,0.010573551942839755,0.4659430638453196,0.9315859779894011,0.006265666424955135,0.0032828103058742766,0.06857380721558556
model_multitask_seed62.pt,sidtd,templates,2222,1000,1222,0.5496585996367516,0.503774549918167,0.4976808510638298,0.705985401459854,0.3588808263432734,0.548797094870631,0.9893617021276596,"[6, 994, 13, 1209]",0.005791947915562348,0.012006703511935259,0.4705111033304848,0.9410308043529503,0.0057919478157005015,0.0030568533959400273,0.055026098577586294
model_multitask_seed63.pt,sidtd,templates,2222,1000,1222,0.5657764706583394,0.5065045008183306,0.5022995090016367,0.651022460610124,0.46924839662949736,0.5513912549687677,0.7945990180032734,"[210, 790, 251, 971]",0.005105458417944527,0.007555374577968156,0.47425948867945755,0.9489365118225616,0.005105458304443051,0.0027165517209865697,0.04233008538863044
model_multitask_seed64.pt,sidtd,templates,2222,1000,1222,0.545547191717423,0.49854050736497546,0.5032446808510639,0.6140988372093024,0.49321963137060865,0.5522875816993464,0.6914893617021277,"[315, 685, 377, 845]",0.008336050819317004,0.014412539931521513,0.4833650191016546,0.9655554341517341,0.008336050660670712,0.004563832672818525,0.04805917503299965
model_multitask_seed65.pt,sidtd,templates,2222,1000,1222,0.5458701767763217,0.492667348608838,0.5045409165302782,0.6985559566787004,0.4019565497679216,0.5523311132254995,0.9500818330605565,"[59, 941, 61, 1161]",0.007603873225400548,0.014953172271619524,0.4776558206518703,0.954444398830523,0.00760387310015841,0.004075054661288869,0.05672675090509742
model_multitask_seed66.pt,sidtd,templates,2222,1000,1222,0.5496080765412973,0.5026501636661211,0.5026235679214403,0.6717850287907869,0.4466664142436484,0.5514705882352942,0.8592471358428805,"[146, 854, 172, 1050]",0.0031073467687701244,0.005101850138167203,0.46293129558010504,0.9272343378976631,0.0031073466860950393,0.001623720167490976,0.036014941641060935
model_multitask_seed67.pt,sidtd,templates,2222,1000,1222,0.5530729062943649,0.5037868248772503,0.49762847790507364,0.6855036855036855,0.41177541177541177,0.5486725663716814,0.9132569558101473,"[82, 918, 106, 1116]",0.003361686407187903,0.004862378936467464,0.4717906058793809,0.9448999737396995,0.0033616863009777917,0.0017809035428144762,0.029916144968971915
model_multitask_seed68.pt,sidtd,templates,2222,1000,1222,0.5670889846073014,0.50939852700491,0.4961775777414075,0.6959378733572282,0.3835528782844535,0.5479774223894638,0.953355155482815,"[39, 961, 57, 1165]",0.003679417979004463,0.007691267343000248,0.46520231084002667,0.9314898527992362,0.0036794178916866294,0.0019277767392007138,0.04027068031570231
