trial_number,outer_fold,pruned,time_sec,lr,weight_decay,dropout_rate,alpha,dec_ch,loss_w_mask,val_cls_prauc,val_mask_dice_global,distance_to_ideal
44,6,False,298.75687789998483,0.0005847273276339019,6.717496030715263e-07,0.38954701237154754,0.2,96,1.199201216265219,0.9214492871705401,0.5514379439460544,0.4553878924799816
45,6,False,300.29207710002083,0.0004211291820688849,1.8190378443102197e-05,0.27594734211819233,0.2,96,1.4187293454479604,0.8927529368466608,0.5946249432952715,0.41932191589920287
46,6,False,388.9070049999864,0.00033578650370973096,3.896963531519427e-05,0.2072759496701656,0.2,192,2.521658935731182,0.8748673198550734,0.6471808432798379,0.3743521670686291
47,6,False,417.1361385000055,7.675424429813206e-05,1.1716750493166766e-05,0.13346470813254122,0.2,256,0.8897657104441312,0.8263462459310874,0.5673988317000266,0.4661538341757239
48,6,False,307.03429740003776,0.0004590306276632903,8.266220223131506e-07,0.2116496480475758,0.2,128,0.6217949926129382,0.9425016102380314,0.6206185844716343,0.3837138559832388
49,6,False,307.16308929998195,8.78024573134115e-05,1.5751628084729385e-06,0.10477684912282394,0.2,128,1.079545171459643,0.8201183996211127,0.5608101892094702,0.4745999157786388
0,7,False,298.65842890000204,0.00011933350887662372,5.510430076715934e-07,0.3779005405177528,0.2,96,1.0260595899669145,0.8392137216758131,0.6100276670473652,0.42181826390741256
1,7,False,418.23449569998775,0.0004626170383289884,4.8830402360887594e-05,0.3164951369697915,0.2,256,1.0728455110318198,0.9198637448251634,0.646631717473807,0.3623409478501676
2,7,False,418.73604669998167,0.0008067750600895713,1.5022942556788304e-07,0.18695136595023754,0.2,256,2.0159579171036914,0.8956150314013713,0.614405518720147,0.39947381098491996
3,7,False,308.44705020001857,0.00013959731150418308,1.82977506322958e-06,0.3719498719443125,0.2,128,2.7765889761697893,0.8028543705744402,0.6305294863971295,0.4187778165370858
4,7,False,301.1447182999691,0.0005727594747417923,8.157992746547391e-06,0.3970321423509988,0.2,96,1.4826384625126154,0.8907923562073549,0.5998787058341379,0.41475698849772935
5,7,False,389.7872477999772,0.0002694699427722914,1.3559251802479266e-06,0.24410553672557184,0.2,192,2.5582531004039644,0.8559570760546986,0.6743728943668821,0.35606372443947953
6,7,False,303.34633219998796,0.00025808259427150963,1.0471633227018351e-07,0.28834641475160877,0.2,96,1.13953326492302,0.9035987844398076,0.6077379067763362,0.40393408390688323
7,7,False,391.3919064999791,0.0002976425250817838,3.116593811257937e-05,0.10305026986558322,0.2,192,2.974076780123529,0.864737795906826,0.6983410721849358,0.3305963892523292
8,7,False,418.0589525999967,0.00010954048479869083,6.066176548161471e-06,0.2568270872644972,0.2,256,2.024509215107348,0.805547711239309,0.6375786602773432,0.4112917700254122
9,7,False,392.17603600001894,0.00034246469805130687,1.9247317857922743e-05,0.1197352466328562,0.2,192,0.5132423837421164,0.9496629714592639,0.596741862310912,0.4063876745852196
10,7,False,391.917675899982,0.000511219151770465,5.001070143892688e-06,0.3775739642083856,0.2,192,2.165022308287732,0.8793547177413839,0.6857091009378583,0.33665123401608155
11,7,False,301.1408027999569,0.00010424212248599492,2.3035633451591615e-06,0.2527389149391934,0.2,96,1.7253550457277873,0.8072570909633828,0.5939422235543542,0.4494805299408193
12,7,False,389.50636300002225,0.0002887416857450617,1.0798674710462685e-07,0.21433235513318852,0.2,192,1.458040917247094,0.9165840375979964,0.6743719850050031,0.33614256935567444
13,7,False,420.12056369998027,0.0006201463745170498,3.217116231754679e-05,0.3321634041378434,0.2,256,1.5590128739293034,0.9238783956330732,0.6718760090444651,0.3368380205558495
14,7,False,309.0794154999894,0.00016503683418222235,8.01588340167212e-07,0.3391485584734104,0.2,128,1.8039080310746167,0.8390520327715514,0.6355946941131257,0.39836600647328857
15,7,False,301.94532449997496,0.00016369602923033578,3.502814217014588e-07,0.15642779392099262,0.2,96,2.5317421871487236,0.822346783603302,0.612914786741446,0.4259056557730976
16,7,False,417.98951909999596,0.00031019647615038035,2.4689534762925705e-07,0.11918718754685292,0.2,256,1.6130384415650374,0.9096101590369665,0.6809806309549297,0.33157756434239827
17,7,False,310.182049199997,7.480928322948898e-05,9.218308177658515e-06,0.19478548049490996,0.2,128,1.1252919372397288,0.8005713423283476,0.570827497807544,0.4732449958941465
18,7,False,313.7159920000122,0.00021659833204896106,5.080018275045295e-06,0.13081539366540942,0.2,128,1.3795612662538148,0.8882560010674059,0.6386790117664205,0.37820573479990766
